station|station_name|unit|type|truck_type|rescue type|is_reserved|image|year|make|model|ladder_type|ladder_length|max_pump_rate|wate_tank_capacity|foam_cell_capacity
432|Fairview|E432|Engine|||0|engine|2017|Pierce|Velocity Pumper|||750|1500|40
431|Fox Mill|E431|Engine|||0|engine|2014|Pierce|Velocity Pumper|||750|1500|40
436|Frying Pan|E436|Engine|||0|engine|2017|Pierce|Velocity Pumper|||750|1500|40
437|Kingstowne|E437|Engine|||0|engine|2018|Pierce|Velocity Pumper|||750|1500|40
439|North Point|E439|Engine|||0|engine|2017|Pierce|Velocity Pumper|||750|1500|40
434|Oakton|E434|Engine|||0|engine|2014|Pierce|Velocity Pumper|||750|1500|40
425|Reston|E425|Engine|||0|engine|2013|Pierce|Velocity Pumper|||750|1500|40
438|West Centerville|E438|Engine|||0|engine|2017|Pierce|Velocity Pumper|||750|1500|40
427|West Springfield|E427|Engine|||0|engine|2019|Pierce|Velocity Pumper|||750|1500|40
430|Merrifield|E430|Engine|||0|engine|2019|Pierce|Velocity Pumper|||750|1500|40
411|Penn Daw|E411|Engine|||0|engine|2019|Pierce|Velocity Pumper|||750|1500|40
435|Pohick|E435|Engine|||0|engine|2019|Pierce|Velocity Pumper|||750|1500|40
413|Dunn Loring|E413B|Engine|||1|engine|2009|Pierce|Velocity Pumper|||750|1500|40
440|Fairfax Center|HMS440|Hazmat Support|||0|hazmat_support|2019|Pierce|Velocity split-tilt command cab|||||
411|Penn Daw|R411|Rescue||Hazmat|0|rescue|2020|Pierce|Velocity Walk-In Rescue|||||
414|Burke|R414|Rescue||Technical|0|rescue|2021|Pierce|Velocity Walk-In Rescue|||||
418|Jefferson|R418|Rescue||Technical|0|rescue|2021|Pierce|Velocity Walk-In Rescue|||||
401|McLean|R401|Rescue||Hazmat|0|rescue|2018|Pierce|Velocity Walk-In Rescue|||||
419|Lorton|R419|Rescue||Hazmat|0|rescue|2015|Pierce|Velocity Walk-In Rescue|||||
439|North Point|R439|Rescue||Technical|0|rescue|2015|Pierce|Velocity Walk-In Rescue|||||
426|Edsall|R426|Rescue||Hazmat|0|rescue|2018|Pierce|Velocity Walk-In Rescue|||||
421|Fair Oaks|R421|Rescue||Technical|0|rescue|2014|Pierce|Velocity Walk-In Rescue|||||
412|Great Falls|UT412|Utility|||0|utility|2017|Jeep|Wrangler|||||
405|Franconia|VC405|Volunteer Chief|||1|vol_chief|2008|GMC|Yukon|||||
